Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DataServer\DataServer.csproj,File,DataServer\DataServer.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DfsShell\DfsShell.csproj,File,DfsShell\DfsShell.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DfsShell\DfsShell.csproj,File,DfsShell\Program.cs,18,8,T:System.Configuration.ConfigurationUserLevel,,,,,"log4net.Config.XmlConfigurator.Configure(repository,              new FileInfo(ConfigurationManager.OpenExeConfiguration(ConfigurationUserLevel.None).FilePath));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DfsShell\DfsShell.csproj,File,DfsShell\Program.cs,18,8,T:System.Configuration.ConfigurationUserLevel,,,,,"log4net.Config.XmlConfigurator.Configure(repository,              new FileInfo(ConfigurationManager.OpenExeConfiguration(ConfigurationUserLevel.None).FilePath));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DfsShell\DfsShell.csproj,File,DfsShell\Program.cs,18,8,F:System.Configuration.ConfigurationUserLevel.None,,,,,"log4net.Config.XmlConfigurator.Configure(repository,              new FileInfo(ConfigurationManager.OpenExeConfiguration(ConfigurationUserLevel.None).FilePath));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DfsShell\DfsShell.csproj,File,DfsShell\Program.cs,18,8,T:System.Configuration.ConfigurationManager,,,,,"log4net.Config.XmlConfigurator.Configure(repository,              new FileInfo(ConfigurationManager.OpenExeConfiguration(ConfigurationUserLevel.None).FilePath));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DfsShell\DfsShell.csproj,File,DfsShell\Program.cs,18,8,T:System.Configuration.Configuration,,,,,"log4net.Config.XmlConfigurator.Configure(repository,              new FileInfo(ConfigurationManager.OpenExeConfiguration(ConfigurationUserLevel.None).FilePath));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DfsShell\DfsShell.csproj,File,DfsShell\Program.cs,18,8,M:System.Configuration.ConfigurationManager.OpenExeConfiguration(System.Configuration.ConfigurationUserLevel),,,,,"log4net.Config.XmlConfigurator.Configure(repository,              new FileInfo(ConfigurationManager.OpenExeConfiguration(ConfigurationUserLevel.None).FilePath));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DfsShell\DfsShell.csproj,File,DfsShell\Program.cs,18,8,P:System.Configuration.Configuration.FilePath,,,,,"log4net.Config.XmlConfigurator.Configure(repository,              new FileInfo(ConfigurationManager.OpenExeConfiguration(ConfigurationUserLevel.None).FilePath));"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DfsWeb\DfsWeb.csproj,File,DfsWeb\DfsWeb.csproj,,,Microsoft.Extensions.Logging.Debug 9.0.16,,,,,"Microsoft.Extensions.Logging.Debug, 9.0.16  Recommendation:  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DfsWeb\DfsWeb.csproj,File,DfsWeb\DfsWeb.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 9.0.0,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 9.0.0  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
